,date,state,fips,cases,deaths,New Cases,New Deaths,population
13755,2020-07-05,Pennsylvania,42,0.007361438004976455,0.0005300222886965982,3.7507830051944054e-05,3.119154266273934e-07,12823989
13756,2020-07-06,Pennsylvania,42,0.007422573428595424,0.0005301002675532551,6.11354236189691e-05,7.797885665684836e-08,12823989
13757,2020-07-07,Pennsylvania,42,0.007484878535064246,0.0005329854852495585,6.230510646882183e-05,2.8852176963033887e-06,12823989
13758,2020-07-08,Pennsylvania,42,0.007549678964946086,0.0005352468720926071,6.480042988184098e-05,2.261386843048602e-06,12823989
13759,2020-07-09,Pennsylvania,42,0.0076133876908347315,0.0005376642166489694,6.37087258886451e-05,2.417344556362299e-06,12823989
13760,2020-07-10,Pennsylvania,42,0.007686687816092169,0.0005403154977753022,7.330012525743744e-05,2.651281126332844e-06,12823989
13761,2020-07-11,Pennsylvania,42,0.007739557480905513,0.0005415631594818118,5.286966481334318e-05,1.2476617065095737e-06,12823989
13762,2020-07-12,Pennsylvania,42,0.007781822021213524,0.0005419530537650961,4.2264540308011806e-05,3.8989428328424174e-07,12823989
13763,2020-07-13,Pennsylvania,42,0.007827361673501124,0.0005423429480483803,4.5539652287599435e-05,3.8989428328424174e-07,12823989
13764,2020-07-14,Pennsylvania,42,0.007903936910738148,0.0005437465674682035,7.657523723702507e-05,1.4036194198232703e-06,12823989
13765,2020-07-15,Pennsylvania,42,0.007981993746251654,0.0005467097640211638,7.80568355135052e-05,2.9631965529602373e-06,12823989
13766,2020-07-16,Pennsylvania,42,0.008045000662430387,0.0005488931720075555,6.300691617873346e-05,2.1834079863917537e-06,12823989
13767,2020-07-17,Pennsylvania,42,0.008123213455657205,0.0005502967914273789,7.82127932268189e-05,1.4036194198232703e-06,12823989
13768,2020-07-18,Pennsylvania,42,0.00817062460050457,0.0005511545588506041,4.7411144847363796e-05,8.577674232253318e-07,12823989
13769,2020-07-19,Pennsylvania,42,0.008217723829925307,0.0005516224319905452,4.70992294207364e-05,4.678731399410901e-07,12823989
13770,2020-07-20,Pennsylvania,42,0.008304592276241035,0.0005517783897038589,8.686844631572907e-05,1.559577133136967e-07,12823989
13771,2020-07-21,Pennsylvania,42,0.008379607936344924,0.0005531820091236822,7.501566010388811e-05,1.4036194198232703e-06,12823989
13772,2020-07-22,Pennsylvania,42,0.008442536873667,0.0005555993536800445,6.292893732207662e-05,2.417344556362299e-06,12823989
13773,2020-07-23,Pennsylvania,42,0.008511626140664967,0.0005569249942432109,6.908926699796764e-05,1.325640563166422e-06,12823989
13774,2020-07-24,Pennsylvania,42,0.008604343001229961,0.0005584845713763479,9.271686056499269e-05,1.559577133136967e-06,12823989
13775,2020-07-25,Pennsylvania,42,0.008665088530565645,0.0005588744656596322,6.0745529335684865e-05,3.8989428328424174e-07,12823989
13776,2020-07-26,Pennsylvania,42,0.008715930745105911,0.0005591084022296027,5.084221454026512e-05,2.3393656997054505e-07,12823989
