,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
29,2004,Iowa,0.0020062944680883377,0.00020091420710236467,0.005453792421769229,1.3921614350400072e-05,0.019487412487624794,0.0017895602446787002,0.026931679361175086,0.00030342791277349247,0.00036069637180582005,0.0026843403670180504,3160553
30,2005,Iowa,0.0020803321444063743,0.00018889099470883734,0.005584465756467301,1.2656013045818248e-05,0.019324466319659884,0.0017762714309805911,0.026874094501816614,0.0003338023440834563,0.00036417677539342006,0.002790967276929069,3160553
31,2006,Iowa,0.0019521900123174647,0.00022590983286785573,0.005576555748313666,1.7085617611854633e-05,0.019285549079543992,0.0016202860701908812,0.026708300730916394,0.00034329435386782,0.0004110040236629476,0.0027235740074600867,3160553
32,2007,Iowa,0.0020547037179885924,0.00020091420710236467,0.005252561814340718,1.2339612719672791e-05,0.01801077216550395,0.0015851656339887356,0.025049413820935767,0.0003853755972451656,0.00041543362822898396,0.002867852556182415,3160553
33,2008,Iowa,0.0019895252508026285,0.00019110579699185555,0.005057342813108972,2.4362825113200127e-05,0.016589501900458558,0.0014098798533041528,0.02324783036386354,0.000386324798223602,0.00039328560539880205,0.0027934984795382326,3160553
34,2009,Iowa,0.0019737052344953555,0.00017781698329374639,0.005021589576254535,1.2023212393527335e-05,0.015812422699445317,0.001258007696754334,0.022269836955747933,0.00036670797800258373,0.00037588358746080193,0.0027283200123522687,3160553
35,2010,Iowa,0.0019214991806813554,0.00015313775785440078,0.005077908834308426,1.2339612719672791e-05,0.015170446437696187,0.0012292152670750974,0.02163070829693411,0.00034424355484625633,0.00031924792908076527,0.00259733027732805,3160553
36,2011,Iowa,0.0018860623441530643,0.0001638953689433463,0.005287998650869009,1.4238014676545528e-05,0.015899116388809174,0.0012896477293688794,0.02264065813799041,0.0003527863636521837,0.0002578662658085468,0.0025109529882903405,3160553
37,2012,Iowa,0.0018794179373040098,0.0001746529800322918,0.005143403701820536,1.5503615981127353e-05,0.01528308495380397,0.0013023037424146977,0.021903445378071495,0.00035848156952280187,0.0003012131104904743,0.002554616233298413,3160553
38,2013,Iowa,0.0019085267673093918,0.00014522774970076438,0.004698544843260024,1.328881369810916e-05,0.014937259397326987,0.0013687478109052436,0.02114977980119302,0.00034329435386782,0.00029425230331527427,0.002559362238190595,3160553
39,2014,Iowa,0.0019069447656786644,0.00012750933143661883,0.004319180852211622,1.8667619242581914e-05,0.014707552760545386,0.001351029392641098,0.020505272336834725,0.00036291117408883823,0.00032905633919127445,0.002617579898201359,3160553
40,2015,Iowa,0.001958518018840374,0.00013921614350400073,0.0045400282798611505,2.341362413476376e-05,0.014533532581165385,0.0014339262780912075,0.020646703282621744,0.0003850591969190202,0.00033127114147429263,0.0026982619813684505,3160553
41,2016,Iowa,0.0020749533388619017,0.00011865012230454607,0.004608687150634715,2.341362413476376e-05,0.014636995487814948,0.0016433832939994994,0.021007716054753708,0.00040847282105378394,0.0003625947737626928,0.002869434557813142,3160553
42,2017,Iowa,0.001998384459934701,0.00013415373828567343,0.004479595817567369,3.1007231962254705e-05,0.014556313404647858,0.001809493465225864,0.020979556425726763,0.0004204960334473113,0.00039012160213734747,0.002840009327481615,3160553
43,2018,Iowa,0.0016440160946517904,9.523649816978232e-05,0.0031310976275354344,1.4238014676545528e-05,0.010912330848430638,0.0013636854056869162,0.015502350379822772,0.00033475154506189264,0.0002179998247142193,0.0022110054791044478,3160553
44,2019,Iowa,0.0019471276070991373,0.0001018809050188369,0.0037268794416673284,1.835121891643646e-05,0.012012771182764535,0.0016677461191126996,0.0175092776485634,0.00036734077865487464,0.00027336988178967413,0.0026061894864601227,3160553
45,1991,Illinois,1.5663767825367784e-07,,1.5663767825367784e-07,1.5663767825367784e-07,4.699130347610336e-07,1.5663767825367784e-07,7.831883912683893e-07,7.831883912683892e-08,,3.9159419563419464e-07,12768320
46,1992,Illinois,7.831883912683892e-08,,2.349565173805168e-07,7.831883912683892e-08,7.831883912683892e-08,7.831883912683892e-08,3.9159419563419464e-07,,,1.5663767825367784e-07,12768320
47,1993,Illinois,0.0010043607929625825,8.615072303952282e-05,0.002949409162677627,1.4958898273226235e-05,0.010080887697050199,0.0010489242124257538,0.014165371795193104,0.00013878098293275857,0.00032980063156311874,0.0014879013057316859,12768320
48,1994,Illinois,0.0008251672890403749,8.662063607428385e-05,0.00221274216185058,1.3314202651562618e-05,0.00809182413974587,0.0008283000426054485,0.011219486980276184,0.00010580875166035939,0.0002839057918347911,0.001228196035187088,12768320
49,1995,Illinois,1.5663767825367784e-07,,7.831883912683892e-08,,3.132753565073557e-07,,3.9159419563419464e-07,,,1.5663767825367784e-07,12768320
50,1996,Illinois,,,7.831883912683892e-08,,7.831883912683892e-08,,1.5663767825367784e-07,7.831883912683892e-08,7.831883912683892e-08,1.5663767825367784e-07,12768320
51,1997,Illinois,3.9159419563419464e-07,,,,1.5663767825367784e-07,,1.5663767825367784e-07,7.831883912683892e-08,,4.699130347610336e-07,12768320
52,1998,Illinois,,,,,2.349565173805168e-07,,2.349565173805168e-07,7.831883912683892e-08,,7.831883912683892e-08,12768320
53,1999,Illinois,7.831883912683892e-08,,3.132753565073557e-07,,3.132753565073557e-07,,6.265507130147114e-07,1.5663767825367784e-07,7.831883912683892e-08,3.132753565073557e-07,12768320
54,2000,Illinois,3.9159419563419464e-07,,1.5663767825367784e-07,,,7.831883912683892e-08,2.349565173805168e-07,7.831883912683892e-08,,4.699130347610336e-07,12768320
55,2001,Illinois,,,,,,,,3.9159419563419464e-07,,3.9159419563419464e-07,12768320
56,2002,Illinois,2.349565173805168e-07,,7.831883912683892e-08,7.831883912683892e-08,4.699130347610336e-07,,5.482318738878725e-07,9.398260695220672e-07,7.831883912683892e-08,1.3314202651562617e-06,12768320
57,2003,Illinois,2.349565173805168e-07,,,,3.132753565073557e-07,,3.132753565073557e-07,1.5663767825367784e-07,1.5663767825367784e-07,5.482318738878725e-07,12768320
58,2004,Illinois,7.831883912683892e-08,,3.9159419563419464e-07,7.831883912683892e-08,1.5663767825367784e-07,7.831883912683892e-08,6.265507130147114e-07,1.5663767825367784e-07,,3.132753565073557e-07,12768320
59,2005,Illinois,1.5663767825367784e-07,,7.831883912683892e-08,,3.9159419563419464e-07,,4.699130347610336e-07,1.5663767825367784e-07,,3.132753565073557e-07,12768320
60,2006,Illinois,8.983170847848425e-05,1.8796521390441343e-06,0.0002323719956893311,1.4880579434099396e-06,0.000604856394576577,6.766747700558884e-05,0.0009067755194105411,1.1591188190772161e-05,4.3231999198015086e-05,0.00014614295381068144,12768320
61,2007,Illinois,0.00010698353424726198,6.657101325781309e-06,0.00021099095260770407,1.7230144607904564e-06,0.0004924688604295631,5.7407709079972935e-05,0.0007675246234430215,1.1199593995137967e-05,5.004573820205007e-05,0.00016995188090524046,12768320
62,2008,Illinois,0.00011677338913811685,4.542492669356657e-06,0.0002181179669682464,1.6446956216636175e-06,0.0005099339615548483,6.414312924488109e-05,0.0007967375504373324,1.1826144708152679e-05,4.5816520889200774e-05,0.0001760607503571339,12768320
63,2009,Illinois,0.00010510388210821784,3.054434725946718e-06,0.00018232625748728102,1.8013332999172954e-06,0.0004633342522743791,3.900278188516579e-05,0.0006877177263727726,1.0886318638630611e-05,4.6991303476103355e-05,0.0001647828375228691,12768320
64,2010,Illinois,0.0001297743164331721,7.048695521415504e-06,0.00018232625748728102,1.8013332999172954e-06,0.0004078061953334503,3.78279992982632e-05,0.0006350091476404101,1.1669507029899e-05,3.900278188516579e-05,0.00018224793864815418,12768320
65,2011,Illinois,0.00011254417182526754,5.482318738878725e-06,0.0001460646349715546,1.8013332999172954e-06,0.0003903410942081652,4.2918723841507734e-05,0.0005848067717601062,1.096463747775745e-05,4.4641738302298185e-05,0.00016995188090524046,12768320
66,2012,Illinois,0.00011653843262073633,6.343825969273953e-06,0.0001762173880353876,1.0181449086489061e-06,0.0004081977895290845,3.414701385930177e-05,0.0006249060173930478,1.2687651938547906e-05,3.931605724167314e-05,0.00016956028670960627,12768320
67,2013,Illinois,0.00012037605573795143,8.380115786571765e-06,0.00014817924362797925,1.4880579434099396e-06,0.0003800813262825493,3.344214430716022e-05,0.0005700828300042605,1.1826144708152679e-05,3.1014260294228213e-05,0.00016470451868374225,12768320
68,2014,Illinois,0.00010306759229092003,6.813739004034987e-06,0.0001311840555374552,1.3314202651562617e-06,0.00035251309490990203,3.532179644620435e-05,0.0005258326858975966,1.1199593995137967e-05,3.2815593594145513e-05,0.00014841420014535976,12768320
69,2015,Illinois,0.00013369025838951405,5.482318738878725e-06,0.00011277912834264806,1.4880579434099396e-06,0.00032306521139821055,4.221385428936618e-05,0.0004835405127691035,1.2922608455928422e-05,3.986428911556101e-05,0.00018796521390441342,12768320
70,2016,Illinois,0.00014089559158918322,6.500463647527631e-06,0.00011035124432971605,2.0362898172978122e-06,0.0003033288639382472,4.190057893285883e-05,0.0004620811508483497,1.1747825869025839e-05,4.24488108067467e-05,0.00019712851808225358,12768320
71,2017,Illinois,0.0001412088669456906,4.620811508483496e-06,0.00010941141826019398,1.4097391042831006e-06,0.00028194782085662015,3.931605724167314e-05,0.00043529610786697073,9.789854890854866e-06,3.352046314628706e-05,0.0001859289240871156,12768320
72,2018,Illinois,0.00012374376582040551,5.09072454324453e-06,9.390428811307988e-05,1.8013332999172954e-06,0.00031108242901180423,3.908110072429262e-05,0.00044915854239242124,1.1121275156011127e-05,2.7333274855266785e-05,0.0001639996491316007,12768320
