date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime
1999,Connecticut,471.0,57.0,1496.0,4.0,7363.0,760.0,9676.0,71.0,169.0,715.0
1999,Iowa,5670.0,647.0,15415.0,48.0,59756.0,4855.0,80673.0,891.0,1015.0,7624.0
1999,Idaho,2426.0,274.0,7364.0,25.0,27259.0,2037.0,36934.0,513.0,228.0,3192.0
1999,Illinois,1.0,,4.0,,4.0,,8.0,2.0,1.0,4.0
1999,Kentucky,258.0,7.0,508.0,4.0,2075.0,196.0,2786.0,29.0,47.0,338.0
1999,Massachusetts,11202.0,593.0,13234.0,36.0,43561.0,6216.0,63604.0,773.0,1322.0,13333.0
1999,Michigan,13194.0,1744.0,36470.0,191.0,144282.0,19560.0,202056.0,4650.0,3032.0,21067.0
1999,North Dakota,187.0,68.0,1700.0,6.0,8073.0,759.0,10600.0,162.0,50.0,405.0
1999,Nebraska,177.0,,,5.0,,415.0,415.0,60.0,,242.0
1999,Ohio,2210.0,410.0,13552.0,73.0,39618.0,6229.0,59809.0,667.0,2759.0,5709.0
1999,South Carolina,25757.0,1095.0,40521.0,285.0,123627.0,14895.0,180138.0,2582.0,6171.0,34795.0
1999,Tennessee,10890.0,696.0,20340.0,134.0,63012.0,7483.0,91531.0,1091.0,1364.0,13479.0
1999,Texas,2889.0,308.0,10708.0,41.0,40623.0,4394.0,56033.0,862.0,1323.0,5115.0
1999,Utah,1517.0,205.0,5978.0,23.0,37104.0,3404.0,46691.0,662.0,378.0,2580.0
1999,Virginia,8032.0,931.0,17658.0,188.0,94269.0,8686.0,121544.0,1903.0,2803.0,12926.0
1999,Vermont,344.0,101.0,2833.0,10.0,8672.0,744.0,12350.0,101.0,61.0,516.0
1999,West Virginia,4007.0,418.0,8005.0,69.0,22230.0,2914.0,33567.0,476.0,498.0,5050.0
2000,Arkansas,27.0,2.0,167.0,,1220.0,100.0,1489.0,14.0,8.0,49.0
2000,Colorado,4406.0,736.0,12643.0,66.0,57841.0,7988.0,79208.0,880.0,1371.0,6723.0
2000,Connecticut,1459.0,135.0,3349.0,18.0,16150.0,2452.0,22086.0,182.0,748.0,2407.0
2000,DC,72.0,4.0,4.0,1.0,755.0,268.0,1031.0,,81.0,154.0
2000,Iowa,5896.0,598.0,15714.0,49.0,63770.0,5283.0,85365.0,876.0,1058.0,7879.0
2000,Idaho,2634.0,317.0,6927.0,16.0,28841.0,2134.0,38219.0,459.0,221.0,3330.0
2000,Illinois,5.0,,2.0,,,1.0,3.0,1.0,,6.0
2000,Kansas,3800.0,787.0,9795.0,47.0,42565.0,3145.0,56292.0,729.0,438.0,5014.0
2000,Kentucky,474.0,22.0,925.0,5.0,3957.0,363.0,5267.0,41.0,103.0,623.0
2000,Massachusetts,12805.0,591.0,12964.0,49.0,50691.0,7229.0,71475.0,956.0,1439.0,15249.0
2000,Michigan,18108.0,2220.0,44419.0,226.0,165803.0,24960.0,237402.0,5639.0,4371.0,28344.0
2000,North Dakota,210.0,59.0,1520.0,3.0,8230.0,784.0,10593.0,179.0,42.0,434.0
2000,Nebraska,163.0,,,6.0,,394.0,394.0,32.0,,201.0
2000,Ohio,2476.0,565.0,15322.0,63.0,44796.0,7381.0,68064.0,764.0,3380.0,6683.0
2000,South Carolina,25122.0,1044.0,40215.0,300.0,126481.0,15952.0,183692.0,2525.0,6280.0,34227.0
2000,South Dakota,161.0,21.0,675.0,3.0,2083.0,142.0,2921.0,40.0,15.0,219.0
2000,Tennessee,23821.0,1300.0,43812.0,314.0,128930.0,20951.0,194993.0,2323.0,6304.0,32762.0
2000,Texas,3305.0,289.0,11424.0,50.0,44716.0,4799.0,61228.0,1353.0,1447.0,6155.0
2000,Utah,1502.0,259.0,6084.0,31.0,36843.0,3090.0,46276.0,748.0,383.0,2664.0
2000,Virginia,11570.0,1537.0,29190.0,376.0,163412.0,17417.0,211556.0,2711.0,6151.0,20808.0
2000,Vermont,364.0,99.0,2822.0,8.0,9782.0,673.0,13376.0,107.0,78.0,557.0
2000,West Virginia,4388.0,446.0,9339.0,59.0,27386.0,3284.0,40455.0,528.0,693.0,5668.0
2001,Arkansas,333.0,5.0,720.0,1.0,3123.0,287.0,4135.0,18.0,75.0,427.0
2001,Colorado,4437.0,711.0,12257.0,65.0,57330.0,9002.0,79300.0,930.0,1403.0,6835.0
2001,Connecticut,2094.0,179.0,5214.0,31.0,24507.0,3817.0,33717.0,288.0,1338.0,3751.0
2001,DC,107.0,,3.0,1.0,893.0,476.0,1372.0,1.0,114.0,223.0
2001,Delaware,3357.0,434.0,5342.0,29.0,20449.0,2835.0,29060.0,504.0,1179.0,5069.0
2001,Iowa,5787.0,606.0,15923.0,49.0,63979.0,5437.0,85945.0,900.0,1128.0,7864.0
2001,Idaho,2497.0,289.0,7025.0,30.0,27881.0,2395.0,37590.0,501.0,241.0,3269.0
2001,Illinois,,,,,,,,5.0,,5.0
2001,Kansas,4019.0,741.0,10335.0,46.0,44332.0,3584.0,58992.0,843.0,564.0,5472.0
2001,Kentucky,526.0,35.0,1018.0,5.0,3870.0,378.0,5301.0,79.0,86.0,696.0
2001,Massachusetts,11675.0,662.0,16038.0,60.0,51603.0,8792.0,77095.0,1005.0,1825.0,14565.0
2001,Michigan,19114.0,2310.0,47282.0,225.0,172626.0,24762.0,246980.0,6225.0,4324.0,29888.0
2001,North Dakota,198.0,94.0,1538.0,8.0,8607.0,829.0,11068.0,173.0,46.0,425.0
2001,Nebraska,175.0,,,3.0,,466.0,466.0,63.0,,241.0
2001,Ohio,3415.0,774.0,21849.0,122.0,60852.0,10459.0,93934.0,990.0,4481.0,9008.0
2001,South Carolina,23586.0,957.0,39483.0,329.0,118404.0,15835.0,174679.0,2279.0,5555.0,31749.0
2001,South Dakota,166.0,19.0,886.0,4.0,2840.0,180.0,3925.0,64.0,36.0,270.0
2001,Tennessee,30153.0,1736.0,59552.0,419.0,167640.0,27685.0,256613.0,2860.0,10257.0,43689.0
